z [m],e,sig’ [Pa],k [m/s]
0.0000,1.08683,1.1000E+04,4.428E-09
0.0010,1.08670,1.1008E+04,4.424E-09
0.0020,1.08658,1.1015E+04,4.420E-09
0.0030,1.08645,1.1023E+04,4.416E-09
0.0040,1.08633,1.1030E+04,4.412E-09
0.0050,1.08620,1.1038E+04,4.407E-09
0.0060,1.08608,1.1045E+04,4.403E-09
0.0070,1.08595,1.1053E+04,4.399E-09
0.0080,1.08583,1.1060E+04,4.395E-09
0.0090,1.08571,1.1068E+04,4.391E-09
0.0100,1.08558,1.1075E+04,4.387E-09
0.0110,1.08546,1.1083E+04,4.383E-09
0.0120,1.08533,1.1090E+04,4.379E-09
0.0130,1.08521,1.1098E+04,4.374E-09
0.0140,1.08508,1.1105E+04,4.370E-09
0.0150,1.08496,1.1113E+04,4.366E-09
0.0160,1.08484,1.1120E+04,4.362E-09
0.0170,1.08471,1.1128E+04,4.358E-09
0.0180,1.08459,1.1135E+04,4.354E-09
0.0190,1.08447,1.1143E+04,4.350E-09
0.0200,1.08434,1.1151E+04,4.346E-09
0.0210,1.08422,1.1158E+04,4.342E-09
0.0220,1.08410,1.1166E+04,4.338E-09
0.0230,1.08397,1.1173E+04,4.334E-09
0.0240,1.08385,1.1181E+04,4.330E-09
0.0250,1.08373,1.1188E+04,4.326E-09
0.0260,1.08360,1.1196E+04,4.322E-09
0.0270,1.08348,1.1203E+04,4.318E-09
0.0280,1.08336,1.1211E+04,4.314E-09
0.0290,1.08323,1.1218E+04,4.310E-09
0.0300,1.08311,1.1226E+04,4.306E-09
0.0310,1.08299,1.1233E+04,4.302E-09
0.0320,1.08287,1.1241E+04,4.298E-09
0.0330,1.08274,1.1248E+04,4.294E-09
0.0340,1.08262,1.1256E+04,4.290E-09
0.0350,1.08250,1.1264E+04,4.286E-09
0.0360,1.08238,1.1271E+04,4.282E-09
0.0370,1.08225,1.1279E+04,4.278E-09
0.0380,1.08213,1.1286E+04,4.274E-09
0.0390,1.08201,1.1294E+04,4.270E-09
0.0400,1.08189,1.1301E+04,4.266E-09
0.0410,1.08177,1.1309E+04,4.262E-09
0.0420,1.08164,1.1316E+04,4.258E-09
0.0430,1.08152,1.1324E+04,4.254E-09
0.0440,1.08140,1.1331E+04,4.251E-09
0.0450,1.08128,1.1339E+04,4.247E-09
0.0460,1.08116,1.1346E+04,4.243E-09
0.0470,1.08104,1.1354E+04,4.239E-09
0.0480,1.08091,1.1362E+04,4.235E-09
0.0490,1.08079,1.1369E+04,4.231E-09
0.0500,1.08067,1.1377E+04,4.227E-09
0.0510,1.08055,1.1384E+04,4.223E-09
0.0520,1.08043,1.1392E+04,4.219E-09
0.0530,1.08031,1.1399E+04,4.216E-09
0.0540,1.08019,1.1407E+04,4.212E-09
0.0550,1.08007,1.1414E+04,4.208E-09
0.0560,1.07995,1.1422E+04,4.204E-09
0.0570,1.07982,1.1429E+04,4.200E-09
0.0580,1.07970,1.1437E+04,4.196E-09
0.0590,1.07958,1.1445E+04,4.193E-09
0.0600,1.07946,1.1452E+04,4.189E-09
0.0610,1.07934,1.1460E+04,4.185E-09
0.0620,1.07922,1.1467E+04,4.181E-09
0.0630,1.07910,1.1475E+04,4.177E-09
0.0640,1.07898,1.1482E+04,4.174E-09
0.0650,1.07886,1.1490E+04,4.170E-09
0.0660,1.07874,1.1497E+04,4.166E-09
0.0670,1.07862,1.1505E+04,4.162E-09
0.0680,1.07850,1.1512E+04,4.158E-09
