z [m],e,sig’ [Pa],k [m/s]
0.0690,1.07838,1.1520E+04,4.155E-09
0.0700,1.07826,1.1528E+04,4.151E-09
0.0710,1.07814,1.1535E+04,4.147E-09
0.0720,1.07802,1.1543E+04,4.143E-09
0.0730,1.07790,1.1550E+04,4.140E-09
0.0740,1.07778,1.1558E+04,4.136E-09
0.0750,1.07766,1.1565E+04,4.132E-09
0.0760,1.07754,1.1573E+04,4.129E-09
0.0770,1.07742,1.1580E+04,4.125E-09
0.0780,1.07731,1.1588E+04,4.121E-09
0.0790,1.07719,1.1596E+04,4.117E-09
0.0800,1.07707,1.1603E+04,4.114E-09
0.0810,1.07695,1.1611E+04,4.110E-09
0.0820,1.07683,1.1618E+04,4.106E-09
0.0830,1.07671,1.1626E+04,4.103E-09
0.0840,1.07659,1.1633E+04,4.099E-09
0.0850,1.07647,1.1641E+04,4.095E-09
0.0860,1.07635,1.1648E+04,4.092E-09
0.0870,1.07624,1.1656E+04,4.088E-09
0.0880,1.07612,1.1664E+04,4.084E-09
0.0890,1.07600,1.1671E+04,4.081E-09
0.0900,1.07588,1.1679E+04,4.077E-09
0.0910,1.07576,1.1686E+04,4.073E-09
0.0920,1.07564,1.1694E+04,4.070E-09
0.0930,1.07553,1.1701E+04,4.066E-09
0.0940,1.07541,1.1709E+04,4.062E-09
0.0950,1.07529,1.1717E+04,4.059E-09
0.0960,1.07517,1.1724E+04,4.055E-09
0.0970,1.07505,1.1732E+04,4.052E-09
0.0980,1.07494,1.1739E+04,4.048E-09
0.0990,1.07482,1.1747E+04,4.044E-09
0.1000,1.07470,1.1754E+04,4.041E-09
0.1010,1.07458,1.1762E+04,4.037E-09
0.1020,1.07446,1.1769E+04,4.034E-09
0.1030,1.07435,1.1777E+04,4.030E-09
0.1040,1.07423,1.1785E+04,4.027E-09
0.1050,1.07411,1.1792E+04,4.023E-09
0.1060,1.07399,1.1800E+04,4.019E-09
0.1070,1.07388,1.1807E+04,4.016E-09
0.1080,1.07376,1.1815E+04,4.012E-09
0.1090,1.07364,1.1822E+04,4.009E-09
0.1100,1.07353,1.1830E+04,4.005E-09
0.1110,1.07341,1.1838E+04,4.002E-09
0.1120,1.07329,1.1845E+04,3.998E-09
0.1130,1.07318,1.1853E+04,3.995E-09
0.1140,1.07306,1.1860E+04,3.991E-09
0.1150,1.07294,1.1868E+04,3.988E-09
0.1160,1.07283,1.1875E+04,3.984E-09
0.1170,1.07271,1.1883E+04,3.981E-09
0.1180,1.07259,1.1891E+04,3.977E-09
0.1190,1.07248,1.1898E+04,3.974E-09
0.1200,1.07236,1.1906E+04,3.970E-09
0.1210,1.07224,1.1913E+04,3.967E-09
0.1220,1.07213,1.1921E+04,3.963E-09
0.1230,1.07201,1.1928E+04,3.960E-09
0.1240,1.07190,1.1936E+04,3.956E-09
0.1250,1.07178,1.1944E+04,3.953E-09
0.1260,1.07166,1.1951E+04,3.949E-09
0.1270,1.07155,1.1959E+04,3.946E-09
0.1280,1.07143,1.1966E+04,3.942E-09
0.1290,1.07132,1.1974E+04,3.939E-09
0.1300,1.07120,1.1982E+04,3.935E-09
0.1310,1.07108,1.1989E+04,3.932E-09
0.1320,1.07097,1.1997E+04,3.929E-09
0.1330,1.07085,1.2004E+04,3.925E-09
0.1340,1.07074,1.2012E+04,3.922E-09
0.1350,1.07062,1.2019E+04,3.918E-09
0.1360,1.07051,1.2027E+04,3.915E-09
0.1370,1.07039,1.2035E+04,3.912E-09
0.1380,1.07028,1.2042E+04,3.908E-09
0.1390,1.07016,1.2050E+04,3.905E-09
0.1400,1.07005,1.2057E+04,3.901E-09
0.1410,1.06993,1.2065E+04,3.898E-09
0.1420,1.06982,1.2072E+04,3.895E-09
0.1430,1.06970,1.2080E+04,3.891E-09
0.1440,1.06959,1.2088E+04,3.888E-09
0.1450,1.06947,1.2095E+04,3.884E-09
0.1460,1.06936,1.2103E+04,3.881E-09
0.1470,1.06924,1.2110E+04,3.878E-09
0.1480,1.06913,1.2118E+04,3.874E-09
0.1490,1.06901,1.2126E+04,3.871E-09
0.1500,1.06890,1.2133E+04,3.868E-09
0.1510,1.06879,1.2141E+04,3.864E-09
0.1520,1.06867,1.2148E+04,3.861E-09
0.1530,1.06856,1.2156E+04,3.858E-09
0.1540,1.06844,1.2164E+04,3.854E-09
0.1550,1.06833,1.2171E+04,3.851E-09
0.1560,1.06822,1.2179E+04,3.848E-09
0.1570,1.06810,1.2186E+04,3.844E-09
0.1580,1.06799,1.2194E+04,3.841E-09
0.1590,1.06787,1.2201E+04,3.838E-09
0.1600,1.06776,1.2209E+04,3.835E-09
0.1610,1.06765,1.2217E+04,3.831E-09
0.1620,1.06753,1.2224E+04,3.828E-09
0.1630,1.06742,1.2232E+04,3.825E-09
0.1640,1.06731,1.2239E+04,3.821E-09
0.1650,1.06719,1.2247E+04,3.818E-09
0.1660,1.06708,1.2255E+04,3.815E-09
0.1670,1.06697,1.2262E+04,3.812E-09
0.1680,1.06685,1.2270E+04,3.808E-09
0.1690,1.06674,1.2277E+04,3.805E-09
0.1700,1.06663,1.2285E+04,3.802E-09
0.1710,1.06651,1.2293E+04,3.799E-09
0.1720,1.06640,1.2300E+04,3.795E-09
0.1730,1.06629,1.2308E+04,3.792E-09
0.1740,1.06618,1.2315E+04,3.789E-09
0.1750,1.06606,1.2323E+04,3.786E-09
0.1760,1.06595,1.2331E+04,3.783E-09
0.1770,1.06584,1.2338E+04,3.779E-09
0.1780,1.06572,1.2346E+04,3.776E-09
0.1790,1.06561,1.2353E+04,3.773E-09
0.1800,1.06550,1.2361E+04,3.770E-09
0.1810,1.06539,1.2369E+04,3.766E-09
0.1820,1.06527,1.2376E+04,3.763E-09
0.1830,1.06516,1.2384E+04,3.760E-09
0.1840,1.06505,1.2391E+04,3.757E-09
0.1850,1.06494,1.2399E+04,3.754E-09
0.1860,1.06483,1.2407E+04,3.751E-09
0.1870,1.06471,1.2414E+04,3.747E-09
0.1880,1.06460,1.2422E+04,3.744E-09
0.1890,1.06449,1.2429E+04,3.741E-09
0.1900,1.06438,1.2437E+04,3.738E-09
0.1910,1.06427,1.2445E+04,3.735E-09
0.1920,1.06416,1.2452E+04,3.732E-09
0.1930,1.06404,1.2460E+04,3.728E-09
0.1940,1.06393,1.2467E+04,3.725E-09
0.1950,1.06382,1.2475E+04,3.722E-09
0.1960,1.06371,1.2483E+04,3.719E-09
0.1970,1.06360,1.2490E+04,3.716E-09
0.1980,1.06349,1.2498E+04,3.713E-09
0.1990,1.06338,1.2505E+04,3.710E-09
0.2000,1.06326,1.2513E+04,3.707E-09
