z [m],e,sig’ [Pa],k [m/s]
0.1270,1.41693,1.8084E+03,5.352E-08
0.1280,1.41627,1.8149E+03,5.326E-08
0.1290,1.41562,1.8214E+03,5.300E-08
0.1300,1.41497,1.8279E+03,5.274E-08
0.1310,1.41432,1.8344E+03,5.248E-08
0.1320,1.41367,1.8409E+03,5.222E-08
0.1330,1.41303,1.8474E+03,5.197E-08
0.1340,1.41239,1.8539E+03,5.172E-08
0.1350,1.41175,1.8604E+03,5.147E-08
0.1360,1.41111,1.8669E+03,5.122E-08
0.1370,1.41047,1.8735E+03,5.098E-08
0.1380,1.40984,1.8800E+03,5.073E-08
0.1390,1.40920,1.8865E+03,5.049E-08
0.1400,1.40857,1.8930E+03,5.025E-08
0.1410,1.40795,1.8995E+03,5.001E-08
0.1420,1.40732,1.9060E+03,4.978E-08
0.1430,1.40669,1.9126E+03,4.954E-08
0.1440,1.40607,1.9191E+03,4.931E-08
0.1450,1.40545,1.9256E+03,4.908E-08
0.1460,1.40483,1.9321E+03,4.885E-08
0.1470,1.40422,1.9387E+03,4.862E-08
0.1480,1.40360,1.9452E+03,4.840E-08
0.1490,1.40299,1.9517E+03,4.818E-08
0.1500,1.40238,1.9582E+03,4.795E-08
0.1510,1.40177,1.9648E+03,4.773E-08
0.1520,1.40116,1.9713E+03,4.752E-08
0.1530,1.40056,1.9779E+03,4.730E-08
0.1540,1.39995,1.9844E+03,4.708E-08
0.1550,1.39935,1.9909E+03,4.687E-08
0.1560,1.39875,1.9975E+03,4.666E-08
0.1570,1.39815,2.0040E+03,4.645E-08
0.1580,1.39756,2.0106E+03,4.624E-08
0.1590,1.39696,2.0171E+03,4.603E-08
0.1600,1.39637,2.0237E+03,4.583E-08
0.1610,1.39578,2.0302E+03,4.562E-08
0.1620,1.39519,2.0368E+03,4.542E-08
0.1630,1.39460,2.0433E+03,4.522E-08
0.1640,1.39402,2.0499E+03,4.502E-08
0.1650,1.39343,2.0564E+03,4.482E-08
0.1660,1.39285,2.0630E+03,4.463E-08
0.1670,1.39227,2.0696E+03,4.443E-08
0.1680,1.39169,2.0761E+03,4.424E-08
0.1690,1.39111,2.0827E+03,4.404E-08
0.1700,1.39054,2.0892E+03,4.385E-08
0.1710,1.38996,2.0958E+03,4.366E-08
0.1720,1.38939,2.1024E+03,4.348E-08
0.1730,1.38882,2.1089E+03,4.329E-08
0.1740,1.38825,2.1155E+03,4.310E-08
0.1750,1.38769,2.1221E+03,4.292E-08
0.1760,1.38712,2.1287E+03,4.274E-08
0.1770,1.38656,2.1352E+03,4.255E-08
0.1780,1.38599,2.1418E+03,4.237E-08
0.1790,1.38543,2.1484E+03,4.220E-08
0.1800,1.38487,2.1550E+03,4.202E-08
0.1810,1.38432,2.1616E+03,4.184E-08
0.1820,1.38376,2.1681E+03,4.167E-08
0.1830,1.38321,2.1747E+03,4.149E-08
0.1840,1.38265,2.1813E+03,4.132E-08
0.1850,1.38210,2.1879E+03,4.115E-08
0.1860,1.38155,2.1945E+03,4.098E-08
0.1870,1.38100,2.2011E+03,4.081E-08
0.1880,1.38046,2.2077E+03,4.064E-08
0.1890,1.37991,2.2143E+03,4.047E-08
0.1900,1.37937,2.2209E+03,4.031E-08
0.1910,1.37882,2.2275E+03,4.014E-08
0.1920,1.37828,2.2341E+03,3.998E-08
0.1930,1.37774,2.2407E+03,3.982E-08
0.1940,1.37721,2.2473E+03,3.965E-08
0.1950,1.37667,2.2539E+03,3.949E-08
0.1960,1.37614,2.2605E+03,3.934E-08
0.1970,1.37560,2.2671E+03,3.918E-08
0.1980,1.37507,2.2737E+03,3.902E-08
0.1990,1.37454,2.2803E+03,3.886E-08
0.2000,1.37401,2.2869E+03,3.871E-08
