z [m],e,sig’ [Pa],k [m/s]
0.1570,1.54345,905.2762,1.391E-07
0.1580,1.54221,911.4489,1.378E-07
0.1590,1.54097,917.6246,1.365E-07
0.1600,1.53974,923.8032,1.353E-07
0.1610,1.53853,929.9849,1.340E-07
0.1620,1.53731,936.1695,1.328E-07
0.1630,1.53611,942.3570,1.316E-07
0.1640,1.53491,948.5475,1.304E-07
0.1650,1.53372,954.7409,1.293E-07
0.1660,1.53254,960.9371,1.281E-07
0.1670,1.53136,967.1363,1.270E-07
0.1680,1.53019,973.3384,1.259E-07
0.1690,1.52903,979.5433,1.248E-07
0.1700,1.52788,985.7510,1.237E-07
0.1710,1.52673,991.9616,1.226E-07
0.1720,1.52559,998.1750,1.216E-07
0.1730,1.52445,1004.3912,1.205E-07
0.1740,1.52332,1010.6102,1.195E-07
0.1750,1.52220,1016.8319,1.185E-07
0.1760,1.52109,1023.0564,1.175E-07
0.1770,1.51998,1029.2837,1.165E-07
0.1780,1.51887,1035.5137,1.156E-07
0.1790,1.51778,1041.7464,1.146E-07
0.1800,1.51668,1047.9818,1.137E-07
0.1810,1.51560,1054.2200,1.127E-07
0.1820,1.51452,1060.4608,1.118E-07
0.1830,1.51345,1066.7042,1.109E-07
0.1840,1.51238,1072.9504,1.100E-07
0.1850,1.51132,1079.1992,1.091E-07
0.1860,1.51026,1085.4506,1.083E-07
0.1870,1.50921,1091.7046,1.074E-07
0.1880,1.50817,1097.9613,1.066E-07
0.1890,1.50713,1104.2206,1.057E-07
0.1900,1.50609,1110.4824,1.049E-07
0.1910,1.50506,1116.7468,1.041E-07
0.1920,1.50404,1123.0138,1.033E-07
0.1930,1.50302,1129.2834,1.025E-07
0.1940,1.50201,1135.5554,1.017E-07
0.1950,1.50100,1141.8301,1.010E-07
0.1960,1.50000,1148.1072,1.002E-07
0.1970,1.49900,1154.3869,9.946E-08
0.1980,1.49801,1160.6690,9.871E-08
0.1990,1.49702,1166.9537,9.798E-08
0.2000,1.49604,1173.2408,9.726E-08
